#ies_format_version: 1.0
#file: 20250724_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test_B_19;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18;	test_B_19
20250724;	153726;	1753351646.000;	         100;	        err7
20250724;	153728;	1753351648.000;	         100;	           0
20250724;	153730;	1753351650.000;	         100;	           0
20250724;	153732;	1753351652.000;	         100;	           0
20250724;	153734;	1753351654.000;	         100;	           0
20250724;	153736;	1753351656.000;	         100;	           0
20250724;	153738;	1753351658.000;	         100;	           0
20250724;	153740;	1753351660.000;	         100;	           0
20250724;	153742;	1753351662.000;	         100;	           0
20250724;	153744;	1753351664.000;	         100;	           0
20250724;	153746;	1753351666.000;	         100;	           0
20250724;	153748;	1753351668.000;	         100;	           0
20250724;	153750;	1753351670.000;	         100;	           0
20250724;	153752;	1753351672.000;	         100;	           0
20250724;	153754;	1753351674.000;	         100;	           0
20250724;	153756;	1753351676.000;	         100;	           0
20250724;	153758;	1753351678.000;	         100;	           0
20250724;	153800;	1753351680.000;	         100;	           0
20250724;	153802;	1753351682.000;	         100;	           0
20250724;	153804;	1753351684.000;	         100;	           0
20250724;	153806;	1753351686.000;	         100;	           0
20250724;	153808;	1753351688.000;	         100;	           0
20250724;	153810;	1753351690.000;	         100;	           0
20250724;	153812;	1753351692.000;	         100;	           0
20250724;	153814;	1753351694.000;	         100;	           0
20250724;	153816;	1753351696.000;	         100;	           0
20250724;	153818;	1753351698.000;	         100;	           0
20250724;	153820;	1753351700.000;	         100;	           0
20250724;	153822;	1753351702.000;	         100;	           0
20250724;	153824;	1753351704.000;	         100;	           0
20250724;	153826;	1753351706.000;	         100;	           0
20250724;	153828;	1753351708.000;	         100;	           0
20250724;	153830;	1753351710.000;	         100;	           0
20250724;	153832;	1753351712.000;	         100;	           0
20250724;	153834;	1753351714.000;	         100;	           0
20250724;	153836;	1753351716.000;	         100;	           0
20250724;	153838;	1753351718.000;	         100;	           0
20250724;	153840;	1753351720.000;	         100;	           0
20250724;	153842;	1753351722.000;	         100;	           0
20250724;	153844;	1753351724.000;	         100;	           0
20250724;	153846;	1753351726.000;	         100;	           0
20250724;	153848;	1753351728.000;	         100;	           0
20250724;	153850;	1753351730.000;	         100;	           0
20250724;	153852;	1753351732.000;	         100;	           0
20250724;	153854;	1753351734.000;	         100;	           0
20250724;	153856;	1753351736.000;	         100;	           0
20250724;	153858;	1753351738.000;	         100;	           0
20250724;	153900;	1753351740.000;	         100;	           0
20250724;	153902;	1753351742.000;	         100;	           0
20250724;	153904;	1753351744.000;	         100;	           0
20250724;	153906;	1753351746.000;	         100;	           0
